flow,1736
pressure,1132
number,964
boundary,897
results,885
mach,816
theory,775
layer,728
method,683
shock,589
surface,558
obtained,539
given,520
effects,510
solution,496
heat,483
velocity,481
temperature,478
equations,477
supersonic,460
made,449
ratio,442
body,439
wing,430
presented,425
found,422
experimental,421
laminar,413
conditions,411
effect,402
two,396
analysis,385
reynolds,380
distribution,379
range,376
numbers,372
jet,367
problem,364
case,364
plate,363
also,362
solutions,351
hypersonic,349
shown,347
transfer,345
data,325
may,320
air,318
used,309
bodies,301
equation,297
scs,293
turbulent,290
small,288
buckling,284
theoretical,281
investigation,280
lift,277
wave,274
wings,273
aerodynamic,267
angle,266
wall,266
general,262
values,262
one,261
drag,261
considered,256
transition,249
high,249
region,247
flat,244
paper,243
fluid,242
boundarylayer,242
field,240
large,239
measurements,236
gas,236
speeds,235
model,234
tests,234
edge,232
discussed,232
thickness,227
point,227
problems,227
characteristics,227
tunnel,226
numerical,226
flutter,224
flows,223
form,222
agreement,221
cylinder,220
simple,219
distributions,219
naca,218
value,216
twodimensional,215
present,215
approximate,215
stagnation,215
based,214
compared,214
stream,212
1962,212
constant,208
attack,205
use,205
stability,201
methods,200
calculated,199
separation,198
circular,197
function,196
coefficients,196
shape,195
stress,195
first,193
developed,192
coefficient,191
flight,191
viscous,190
various,185
design,183
cases,181
speed,181
maximum,179
shear,177
thin,177
leading,176
shells,174
terms,173
along,173
nozzle,172
due,171
derived,171
using,170
applied,170
free,169
nose,167
compressible,167
well,166
incompressible,166
study,165
cylinders,165
order,164
local,163
motion,162
section,162
test,162
angles,160
determined,160
cylindrical,159
zero,158
force,157
thermal,155
freestream,155
subsonic,155
axial,153
low,150
rate,149
nasa,148
pressures,147
measured,147
several,147
ratios,146
uniform,146
good,146
waves,146
time,145
normal,145
slender,144
cone,144
investigated,143
properties,143
calculations,143
equilibrium,143
base,142
1960,139
near,139
initial,138
plane,138
length,137
skin,136
distance,136
similar,136
differential,136
assumed,136
heattransfer,136
wind,135
type,134
aircraft,134
increase,133
approximation,133
interaction,133
possible,132
heating,131
certain,131
layers,131
plates,131
load,130
parameter,130
calculation,130
1961,129
exact,128
static,128
1959,128
blunt,128
part,127
forces,127
functions,127
influence,126
energy,126
revolution,126
different,125
however,124
loading,123
particular,123
critical,123
variation,123
gradient,122
past,121
airfoil,121
comparison,120
injection,120
series,120
bending,120
stresses,119
application,119
within,119
density,119
show,118
corresponding,117
shell,117
higher,116
rates,116
note,115
transonic,115
approximately,114
tube,114
described,114
arbitrary,114
means,113
steady,111
determine,110
shapes,110
roughness,108
experiments,108
behind,108
conical,108
cones,108
edges,108
derivatives,108
total,108
predicted,107
new,106
work,105
temperatures,105
friction,104
condition,104
downstream,103
surfaces,103
elastic,102
integral,102
external,102
models,102
moment,102
per,101
finite,101
magnetic,101
inviscid,99
linear,99
indicate,99
mass,99
parameters,99
three,98
aspect,98
included,97
increasing,96
upon,96
required,96
reduced,95
mixing,94
result,94
panel,94
less,94
panels,94
percent,94
arc,94
creep,94
theories,93
including,93
second,93
cooling,93
report,93
transverse,92
available,91
nonlinear,91
profiles,91
accuracy,91
interference,91
curves,90
profile,90
power,89
increased,89
indicated,89
rae,89
research,88
loads,88
development,88
system,88
1958,87
similarity,87
dynamic,87
structure,86
procedure,86
wake,86
known,85
atmosphere,85
control,85
experiment,84
important,84
associated,84
without,84
separated,84
modified,84
example,83
thus,83
direction,83
would,82
rectangular,82
displacement,81
presence,81
diameter,81
practical,80
either,80
sonic,80
gives,80
incidence,80
frequency,80
vortex,80
1957,79
applicable,79
threedimensional,78
analytical,78
area,78
noise,78
change,78
mech,78
greater,77
approach,77
curvature,77
compression,77
basis,76
potential,76
viscosity,76
subjected,76
lower,76
parallel,76
observed,76
special,75
thrust,75
configurations,74
treated,73
conducted,73
velocities,73
newtonian,73
aero,73
behavior,73
studied,73
addition,73
technique,72
studies,72
much,72
changes,72
tested,72
performance,72
material,72
ground,72
specific,71
occur,71
1956,71
mean,71
axisymmetric,71
variations,71
sound,71
expressions,71
account,70
damping,70
law,70
types,70
give,69
symmetric,69
line,69
strength,68
assumption,68
resulting,68
induced,67
vehicle,67
expansion,67
accurate,67
deflection,67
magnitude,67
recent,66
could,66
although,66
helium,66
long,66
extended,66
nozzles,66
discussion,65
relation,65
complete,65
authors,65
prandtl,65
reduction,65
unsteady,64
linearized,64
set,64
factor,64
taken,64
around,64
location,64
vertical,64
approximations,63
radius,63
fields,63
leadingedge,63
determination,63
longitudinal,63
necessary,62
carried,62
physical,62
significant,62
assumptions,62
points,62
times,61
correlation,61
portion,61
increases,61
manner,61
investigations,61
momentum,61
main,61
process,61
app,61
height,60
infinite,60
axis,60
must,59
internal,59
gradients,59
solved,59
applications,59
valid,59
that,59
turbulence,59
vibration,59
outer,58
structures,58
author,58
obtain,58
pitching,58
varied,58
previously,58
cross,58
trailing,57
examples,57
combination,57
instability,57
clamped,57
relations,56
formula,56
vehicles,56
yaw,56
calculating,56
configuration,55
modes,55
combined,55
airfoils,55
formulas,55
forward,55
sharp,55
combinations,55
generally,55
previous,55
simply,55
propeller,54
position,54
information,54
employed,54
delta,54
walls,54
supported,54
close,54
secondorder,54
showed,53
transient,53
minimum,53
transformation,53
except,53
moving,53
expression,53
since,53
axially,53
predictions,53
consideration,53
fatigue,53
vorticity,52
direct,52
skinfriction,52
structural,52
detail,52
include,52
extension,52
shows,52
even,52
satisfactory,52
wide,52
independent,52
determining,52
sphere,52
deflections,52
classical,51
suggested,51
compressor,51
diffusion,51
provided,51
relatively,51
purpose,51
square,51
regions,51
strong,51
wingbody,51
conduction,50
appears,50
effective,50
analyzed,50
pattern,50
gases,50
testing,50
respect,49
techniques,49
chemical,49
decrease,49
moments,49
variables,49
forms,49
entry,49
rocket,49
dissociation,49
plastic,49
solid,48
generalized,48
rise,48
radial,48
scale,48
basic,48
whose,48
center,48
oscillating,48
integration,48
porous,48
chord,48
across,47
examined,47
provide,47
windtunnel,47
upstream,47
altitude,47
elliptic,47
highspeed,46
varying,46
far,46
interest,46
state,46
leads,46
experimentally,46
appropriate,46
geometry,46
limit,46
cent,46
four,46
airplane,46
blunted,46
single,46
related,46
existing,46
core,46
difference,46
1955,45
relative,45
many,45
proposed,45
ordinary,45
afterbody,45
detailed,45
conducting,45
continuous,45
tip,45
tail,45
asymptotic,45
formulae,45
deformation,45
spanwise,44
lateral,44
components,44
missile,44
nonequilibrium,44
involved,44
unity,44
variable,44
average,44
enthalpy,44
tubes,44
vortices,43
disturbances,43
considerations,43
factors,43
introduced,43
computed,43
equal,43
following,43
yield,43
prediction,43
indicates,43
fixed,43
presents,43
mode,43
sections,43
spherical,43
importance,43
latter,43
reentry,43
suitable,43
uniformly,43
blade,43
lifting,43
upper,43
columns,43
together,42
larger,42
considerable,42
column,42
charts,42
simplified,42
end,42
downwash,42
produced,41
reference,41
size,41
occurs,41
